start,end
2014-02-01 00:00,2014-02-01 23:59
2014-02-02 00:00,2014-02-02 23:59
2014-02-03 00:00,2014-02-03 23:59
2014-02-04 00:00,2014-02-04 23:59
2014-02-05 00:00,2014-02-05 23:59
2014-02-06 00:00,2014-02-06 23:59
2014-02-07 00:00,2014-02-07 23:59
2014-02-08 00:00,2014-02-08 23:59
2014-02-09 00:00,2014-02-09 23:59
2014-02-10 00:00,2014-02-10 23:59
2014-02-12 00:00,2014-02-12 23:59
2014-02-13 00:00,2014-02-13 23:59
2014-02-14 00:00,2014-02-14 23:59
2014-02-15 00:00,2014-02-15 23:59
2014-02-16 00:00,2014-02-16 23:59
2014-02-17 00:00,2014-02-17 23:59
2014-02-18 00:00,2014-02-18 23:59
2014-02-19 00:00,2014-02-19 23:59
2014-02-20 00:00,2014-02-20 23:59
2014-02-21 00:00,2014-02-21 23:59
2014-02-22 00:00,2014-02-22 23:59
2014-02-23 00:00,2014-02-23 23:59
2014-02-24 00:00,2014-02-24 23:59
2014-02-25 00:00,2014-02-25 23:59
2014-02-26 00:00,2014-02-26 23:59
2014-02-27 00:00,2014-02-27 23:59
2014-02-28 00:00,2014-02-28 23:59
2014-03-01 00:00,2014-03-01 23:59
2014-03-02 00:00,2014-03-02 23:59
2014-03-03 00:00,2014-03-03 23:59
2014-03-04 00:00,2014-03-04 23:59
2014-03-05 00:00,2014-03-05 23:59
2014-03-06 00:00,2014-03-06 23:59
2014-03-07 00:00,2014-03-07 23:59
2014-03-08 00:00,2014-03-08 23:59
2014-03-09 00:00,2014-03-09 23:59
2014-03-10 00:00,2014-03-10 23:59
2014-03-11 00:00,2014-03-11 23:59
2014-03-12 00:00,2014-03-12 23:59
2014-03-13 00:00,2014-03-13 23:59
2014-03-14 00:00,2014-03-14 23:59
2014-03-15 00:00,2014-03-15 23:59
2014-03-16 00:00,2014-03-16 23:59
2014-03-17 00:00,2014-03-17 23:59
2014-03-18 00:00,2014-03-18 23:59
2014-03-19 00:00,2014-03-19 23:59
2014-03-20 00:00,2014-03-20 23:59
2014-03-21 00:00,2014-03-21 23:59
2014-03-22 00:00,2014-03-22 23:59
2014-03-23 00:00,2014-03-23 23:59
2014-03-24 00:00,2014-03-24 23:59
2014-03-25 00:00,2014-03-25 23:59
2014-03-26 00:00,2014-03-26 23:59
2014-03-27 00:00,2014-03-27 23:59
2014-03-28 00:00,2014-03-28 23:59
2014-03-29 00:00,2014-03-29 23:59
2014-03-30 00:00,2014-03-30 23:59
2014-03-31 00:00,2014-03-31 23:59
2014-12-01 00:00,2014-12-01 23:59
2014-12-02 00:00,2014-12-02 23:59
2014-12-03 00:00,2014-12-03 23:59
2014-12-04 00:00,2014-12-04 23:59
2014-12-05 00:00,2014-12-05 23:59
2014-12-06 00:00,2014-12-06 23:59
2014-12-07 00:00,2014-12-07 23:59
2014-12-08 00:00,2014-12-08 23:59
2014-12-09 00:00,2014-12-09 23:59
2014-12-10 00:00,2014-12-10 23:59
2014-12-11 00:00,2014-12-11 23:59
2014-12-12 00:00,2014-12-12 23:59
2014-12-13 00:00,2014-12-13 23:59
2014-12-14 00:00,2014-12-14 23:59
2014-12-15 00:00,2014-12-15 23:59
2014-12-16 00:00,2014-12-16 23:59
2014-12-17 00:00,2014-12-17 23:59
2014-12-18 00:00,2014-12-18 23:59
2014-12-19 00:00,2014-12-19 23:59
2014-12-20 00:00,2014-12-20 23:59
2014-12-21 00:00,2014-12-21 23:59
2014-12-22 00:00,2014-12-22 23:59
2014-12-23 00:00,2014-12-23 23:59
2014-12-24 00:00,2014-12-24 23:59
2014-12-25 00:00,2014-12-25 23:59
2014-12-26 00:00,2014-12-26 23:59
2014-12-27 00:00,2014-12-27 23:59
2014-12-28 00:00,2014-12-28 23:59
2014-12-29 00:00,2014-12-29 23:59
2014-12-30 00:00,2014-12-30 23:59
2015-01-02 00:00,2015-01-02 23:59
2015-01-03 00:00,2015-01-03 23:59
2015-01-04 00:00,2015-01-04 23:59
2015-01-05 00:00,2015-01-05 23:59
2015-01-06 00:00,2015-01-06 23:59
2015-01-07 00:00,2015-01-07 23:59
2015-01-08 00:00,2015-01-08 23:59
2015-01-09 00:00,2015-01-09 23:59
2015-01-10 00:00,2015-01-10 23:59
2015-01-11 00:00,2015-01-11 23:59
2015-01-12 00:00,2015-01-12 23:59
2015-01-13 00:00,2015-01-13 23:59
2015-01-14 00:00,2015-01-14 23:59
2015-01-15 00:00,2015-01-15 23:59
2015-01-16 00:00,2015-01-16 23:59
