start,end,ml,ml_ok,convective,h_kdp_pk,h_kdp_top,t_kdp_pk,t_kdp_top,comment
#2014-06-12 03:00,2014-06-12 23:30,1,1,0,,,,,
#2014-03-10 08:00,2014-03-10 15:00,1,,0,,,,,overhanging: dries out after melting, no MLI
2014-03-21 03:00,2014-03-21 12:00,1,1,0,,,,,low ml
2014-04-11 10:00,2014-04-11 18:30,1,0,0,,,,,low ml
2014-04-13 00:00,2014-04-13 06:00,1,0,0,,,,,low ml
2014-04-14 00:00,2014-04-14 22:00,1,0,0,,,,,low ml
2014-04-18 05:00,2014-04-18 08:00,1,1,0,,,,,
2014-04-20 03:00,2014-04-20 06:00,1,1,0,,,,,
2014-04-29 03:00,2014-04-29 06:00,1,1,0,,,,,
2014-05-09 01:00,2014-05-09 23:30,1,1,0,,,,,
2014-05-11 02:00,2014-05-11 06:00,1,1,0,,,,,cropped for ml detection
2014-05-11 15:00,2014-05-12 03:30,1,1,0,,,,,
2014-05-13 17:00,2014-05-13 21:00,1,1,0,,,,,zdr above ml
2014-05-16 05:00,2014-05-16 11:30,1,1,0,,,,,
2014-05-20 15:00,2014-05-20 16:15,1,1,,,,,,
2014-05-27 04:00,2014-05-27 16:00,1,0,0,,,,,ml at ground; interesting zdr
2014-05-29 04:00,2014-05-29 20:00,1,1,,,,,,
2014-05-31 02:00,2014-05-31 19:00,1,1,,,,,,
2014-06-03 14:00,2014-06-03 17:00,1,1,,,,,,
2014-06-06 06:00,2014-06-06 09:00,1,1,,,,,,
2014-06-06 13:00,2014-06-06 16:00,1,1,,,,,,
2014-06-07 10:30,2014-06-07 15:00,1,1,,,,,,
2014-06-12 01:00,2014-06-13 06:45,1,1,0,,,,,high kdp 
2014-06-13 14:00,2014-06-14 06:00,1,1,,,,,,
2014-06-16 03:00,2014-06-16 16:00,1,1,,,,,,
2014-06-19 08:00,2014-06-19 16:00,1,1,,,,,,
2014-06-20 11:00,2014-06-20 23:00,1,1,,,,,,cropped for ml detection
2014-06-21 09:00,2014-06-21 18:00,1,0,,,,,,ml too low
2014-06-22 16:00,2014-06-23 18:00,1,1,,,,,,cropped for ml detection
2014-06-29 06:00,2014-06-29 18:00,1,1,,,,,,
2014-06-30 03:00,2014-06-30 09:30,1,1,,,,,,
2014-07-01 21:00,2014-07-02 07:00,1,1,0,,,,,hanging part cropped
2014-07-02 21:00,2014-07-03 02:00,1,1,,,,,,
2014-07-03 17:00,2014-07-03 23:00,1,1,,,,,,
2014-07-14 08:30,2014-07-14 11:30,1,1,,,,,,
2014-07-16 07:00,2014-07-16 17:30,1,1,,,,,,
2014-07-28 02:45,2014-07-28 04:15,1,1,,,,,,
2014-07-29 09:30,2014-07-29 12:00,1,1,,,,,,system height>10km
2014-07-30 17:00,2014-07-30 23:30,1,1,,,,,,rapidly changing intensity
2014-08-07 12:00,2014-08-07 15:00,1,1,,,,,,
2014-08-10 12:00,2014-08-10 14:00,1,1,,,,,,
2014-08-12 02:00,2014-08-12 06:30,1,1,,,,,,strong kdp
2014-08-13 11:00,2014-08-13 19:00,1,1,,,,,,kdp
2014-08-14 16:00,2014-08-14 22:00,1,1,,,,,,high kdp
2014-08-15 09:00,2014-08-15 12:00,1,1,,,,,,kdp
2014-08-18 05:30,2014-08-19 10:15,1,1,,,,,,high kdp
2014-08-20 03:30,2014-08-20 17:00,1,1,,,,,,
2014-08-21 00:00,2014-08-21 19:00,1,1,,,,,,kdp noise?
2014-08-22 15:00,2014-08-22 17:30,1,1,,,,,,kdp noise?
2014-08-23 03:00,2014-08-23 04:30,1,1,,,,,,kdp
2014-08-24 02:45,2014-08-24 05:00,1,1,,,,,,
2014-08-25 06:45,2014-08-26 19:30,1,1,,,,,,high kdp
2014-08-26 23:15,2014-08-27 03:15,1,1,,,,,,high kdp 
2014-09-09 12:00,2014-09-10 06:00,1,1,,,,,,
2014-09-12 12:00,2014-09-12 16:00,1,1,,,,,,
2014-12-07 18:00,2014-12-08 12:00,1,0,,,,,,ml at ground
2014-12-30 15:00,2014-12-30 21:00,1,,,,,,,ml at ground
2015-01-02 04:00,2015-01-02 15:00,1,,,,,,,ml at ground
2015-03-28 00:00,2015-03-28 09:00,1,,,,,,,
